,Sample Date,Location,PFOS,PFOA,Combined,PFOS/PFOA EPA Advisory Level,Other Combined PFAs
428,7/14/2016,2AL Post Lead,ND,ND,ND,0.070 (Combined),
429,7/17/2016,4AL,0.100,0.033,0.133,0.070 (Combined),0.0643
430,7/27/2016,4AL,0.074,0.024,0.098,0.070 (Combined),
431,7/29/2016,2AL Raw,0.18,0.044,0.224,0.070 (Combined),0.116
432,7/29/2016,2AL Post Lag (finished water),ND,ND,ND,0.070 (Combined),ND
433,8/5/2016,2AL Post Lead,ND,ND,ND,0.070 (Combined),
434,8/22/2016,2AL Raw,0.19,0.037,0.227,0.070 (Combined),
435,8/22/2016,2AL Post Lead,0.016,0.0048,0.0208,0.070 (Combined),
436,9/27/2016,4AL,0.069,0.032,0.101,0.070 (Combined),
437,9/27/2016,2AL Post Lead,0.028,0.0095,0.0375,0.070 (Combined),
438,10/10/2016,2AL Post Lead,0.03,0.0062,0.0362,0.070 (Combined),
439,10/10/2016,2AL Post Lag (finished water),ND,ND,ND,0.070 (Combined),
440,10/20/2016,2AL Raw,0.19,0.045,0.235,0.070 (Combined),
441,10/20/2016,2AL Post Lead,0.053,0.018,0.071,0.070 (Combined),
442,10/20/2016,2AL Post Lag (finished water),0.0047,ND,0.0047,0.070 (Combined),
443,10/26/2016,2AL Raw,0.23,0.042,0.272,0.070 (Combined),
444,10/26/2016,2AL Post Lead,0.051,0.016,0.067,0.070 (Combined),
445,10/26/2016,2AL Post Lag (finished water),0.0042,0.004,0.0082,0.070 (Combined),
446,11/2/2016,2AL Raw,0.18,0.041,0.221,0.070 (Combined),
447,11/2/2016,2AL Post Lead,0.056,0.018,0.074,0.070 (Combined),
448,11/2/2016,2AL Post Lag (finished water),0.0086,0.0038,0.0124,0.070 (Combined),
449,11/10/2016,5AL Raw,ND,0.0032,0.0032,0.070 (Combined),
450,11/10/2016,9AL Raw,0.028,0.014,0.042,0.070 (Combined),
451,11/10/2016,TW5 Raw,ND,0.0034,0.0034,0.070 (Combined),
452,11/10/2016,TW1 Raw,ND,ND,ND,0.070 (Combined),
453,11/10/2016,TW2 Raw,ND,ND,ND,0.070 (Combined),
454,11/10/2016,34C Raw - EPDS 006,ND,ND,ND,0.070 (Combined),
455,11/16/2016,4AL Raw,0.064,0.028,0.092,0.070 (Combined),
456,11/16/2016,EPDS 003 - 10AL Raw,0.044,0.025,0.069,0.070 (Combined),
457,11/16/2016,TW4 Raw,ND,0.0028,0.0028,0.070 (Combined),
458,11/16/2016,TW6 Raw,ND,0.0028,0.0028,0.070 (Combined),
459,11/16/2016,20B Raw,ND,ND,ND,0.070 (Combined),
460,11/17/2016,6AL 1st Draw,0.042,0.025,0.067,0.070 (Combined),
461,5/6/2014,EPDS 002 (20B ATF),ND,ND,ND,0.070 (Combined),
462,5/6/2014,EPDS 003 (Airline Reservoir),ND,ND,ND,0.070 (Combined),
463,5/6/2014,EPDS 001 (Townwell Reservoir),ND,ND,ND,0.070 (Combined),
464,5/15/2014,EPDS 005 (Well 10AL),ND,ND,ND,0.070 (Combined),
465,5/15/2014,EPDS 006 (Well 34C),ND,ND,ND,0.070 (Combined),
466,5/29/2014,EPDS 004 (Well 2AL),0.22,0.05,0.27,0.070 (Combined),
467,11/5/2014,EPDS 001 (Townwell Reservoir),ND,ND,ND,0.070 (Combined),
468,11/5/2014,EPDS 002 (20B ATF),ND,ND,ND,0.070 (Combined),
469,11/6/2014,EPDS 003 (Airline Reservoir),ND,ND,ND,0.070 (Combined),
470,11/6/2014,EPDS 005 (Well 10AL),ND,ND,ND,0.070 (Combined),
471,11/18/2014,EPDS 004 (Well 2AL),0.19,0.05,0.24,0.070 (Combined),
472,11/19/2014,EPDS 006 (Well 34C),ND,ND,ND,0.070 (Combined),
