,sample_id,analyte,units,sampling_location,concentration,is_detected,state,source_type
51,13,PFOA,ng/L,Aquifer 2E,0.0,False,North Dakota,groundwater
52,14,PFBA,ng/L,Aquifer 2E,16.0,True,North Dakota,groundwater
53,15,PFPEA,ng/L,Aquifer 2E,0.0,False,North Dakota,groundwater
54,16,PFBS,ng/L,Aquifer 2E,0.0,False,North Dakota,groundwater
55,17,PFHXA,ng/L,Aquifer 2E,0.0,False,North Dakota,groundwater
56,18,PFHPA,ng/L,Aquifer 2E,0.0,False,North Dakota,groundwater
57,19,PFHXS,ng/L,Aquifer 2E,0.0,False,North Dakota,groundwater
58,20,PFHXA,ng/L,Aquifer 2E,0.0,False,North Dakota,groundwater
59,21,6:2 FTS,ng/L,Aquifer 2E,0.0,False,North Dakota,groundwater
60,12,PFOS,ng/L,Aquifer 3A,0.0,False,North Dakota,groundwater
61,13,PFOA,ng/L,Aquifer 3A,0.0,False,North Dakota,groundwater
62,14,PFBA,ng/L,Aquifer 3A,10.0,True,North Dakota,groundwater
63,15,PFPEA,ng/L,Aquifer 3A,0.0,False,North Dakota,groundwater
64,16,PFBS,ng/L,Aquifer 3A,0.0,False,North Dakota,groundwater
65,17,PFHXA,ng/L,Aquifer 3A,0.0,False,North Dakota,groundwater
66,18,PFHPA,ng/L,Aquifer 3A,0.0,False,North Dakota,groundwater
67,19,PFHXS,ng/L,Aquifer 3A,0.0,False,North Dakota,groundwater
68,20,PFHXA,ng/L,Aquifer 3A,0.0,False,North Dakota,groundwater
69,21,6:2 FTS,ng/L,Aquifer 3A,0.0,False,North Dakota,groundwater
70,12,PFOS,ng/L,Aquifer 3B,0.0,False,North Dakota,groundwater
71,13,PFOA,ng/L,Aquifer 3B,0.0,False,North Dakota,groundwater
72,14,PFBA,ng/L,Aquifer 3B,12.0,True,North Dakota,groundwater
73,15,PFPEA,ng/L,Aquifer 3B,2.9,True,North Dakota,groundwater
74,16,PFBS,ng/L,Aquifer 3B,0.0,False,North Dakota,groundwater
75,17,PFHXA,ng/L,Aquifer 3B,0.0,False,North Dakota,groundwater
76,18,PFHPA,ng/L,Aquifer 3B,0.0,False,North Dakota,groundwater
77,19,PFHXS,ng/L,Aquifer 3B,0.0,False,North Dakota,groundwater
78,20,PFHXA,ng/L,Aquifer 3B,2.1,True,North Dakota,groundwater
79,21,6:2 FTS,ng/L,Aquifer 3B,0.0,False,North Dakota,groundwater
80,12,PFOS,ng/L,Aquifer 4B,0.0,False,North Dakota,groundwater
81,13,PFOA,ng/L,Aquifer 4B,1.9,True,North Dakota,groundwater
82,14,PFBA,ng/L,Aquifer 4B,23.0,True,North Dakota,groundwater
83,15,PFPEA,ng/L,Aquifer 4B,44.0,True,North Dakota,groundwater
84,16,PFBS,ng/L,Aquifer 4B,3.1,True,North Dakota,groundwater
85,17,PFHXA,ng/L,Aquifer 4B,26.0,True,North Dakota,groundwater
86,18,PFHPA,ng/L,Aquifer 4B,2.2,True,North Dakota,groundwater
87,19,PFHXS,ng/L,Aquifer 4B,10.0,True,North Dakota,groundwater
88,20,PFHXA,ng/L,Aquifer 4B,0.0,False,North Dakota,groundwater
89,21,6:2 FTS,ng/L,Aquifer 4B,0.0,False,North Dakota,groundwater
90,12,PFOS,ng/L,Aquifer 4D,0.0,False,North Dakota,groundwater
91,13,PFOA,ng/L,Aquifer 4D,0.0,False,North Dakota,groundwater
92,14,PFBA,ng/L,Aquifer 4D,0.0,False,North Dakota,groundwater
93,15,PFPEA,ng/L,Aquifer 4D,0.0,False,North Dakota,groundwater
94,16,PFBS,ng/L,Aquifer 4D,0.0,False,North Dakota,groundwater
95,17,PFHXA,ng/L,Aquifer 4D,0.0,False,North Dakota,groundwater
96,18,PFHPA,ng/L,Aquifer 4D,0.0,False,North Dakota,groundwater
97,19,PFHXS,ng/L,Aquifer 4D,0.0,False,North Dakota,groundwater
98,20,PFHXA,ng/L,Aquifer 4D,0.0,False,North Dakota,groundwater
99,21,6:2 FTS,ng/L,Aquifer 4D,11.0,True,North Dakota,groundwater
