,Water System Name / Well Name,USGS Site ID,County,Date,PFBS,PFPeS,PFHxS,PFHpS,PFOS,PFNS,PFDS,PFBA,PFPeA,PFHxA,PFHpA,PFOA,PFNA,PFDA,PFUnDA,PFDoDA,PFTrDA,PFTeDA,PFOSA,N-MeFOSAA,N-EtFOSAA,4:2 FTS,6:2 FTS,8:2 FTS,9Cl-PF3ONS,11Cl-PF3OUdS,ADONA,HFPO-DA,"PFOA+ PFOS
(ng/L)","ΣPFAS
(ng/L)",Total PFAS includes estimated values?
138,Alamogordo Domestic Water System / Alamo Canyon Springs,325114105500401,Otero,2021-05-26 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,--,
139,Alamogordo Domestic Water System / Caballero Canyon Springs,325234105501101,Otero,2021-05-25 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,--,
140,Alamogordo Domestic Water System / Crockett Springs,330057105505601,Otero,2021-04-30 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,--,
141,Alamogordo Domestic Water System / Fresnal Canyon Diversion,325727105525201,Otero,2021-05-26 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,--,
142,Alamogordo Domestic Water System / Fresnal Canyon Springs,325840105542601,Otero,2021-05-26 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,--,
143,Alamogordo Domestic Water System / Gordon Canyon Springs,324948105492601,Otero,2021-05-25 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,--,
144,Alamogordo Domestic Water System / Lower Maruche Infiltratio,325954105501201,Otero,2021-04-29 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,--,
145,Alamogordo Domestic Water System / Lower Maruche Infiltratio,325954105501201,Otero,2021-04-29 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,--,
146,Alamogordo Domestic Water System / Lower Maruche Infiltratio,325954105501201,Otero,2021-04-29 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,--,
147,Alamogordo Domestic Water System / Lower Springer Springs,325901105492301,Otero,2021-04-30 00:00:00,,,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,--,2.5,No
148,Alamogordo Domestic Water System / Reservoirs 1-3,325813105560301,Otero,2021-02-10 00:00:00,,,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,--,1.3,Yes
149,Alamogordo Domestic Water System / Upper Maruche Springs,325942105501901,Otero,2021-04-29 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,--,
150,Alamogordo Domestic Water System / Upper Springer Infiltratio,325825105541201,Otero,2021-04-30 00:00:00,,,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,--,2.7,No
151,Cloud Country Estates WUA / Spring 1 (Lower Twin),325557105364001,Otero,2021-01-27 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,--,
152,Cloud Country Estates WUA / Spring 2 (Upper Bear),325601105364401,Otero,2021-01-27 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,--,
153,Cloudcroft Water System / Spring 1,325721105423801,Otero,2021-04-14 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,--,
154,Cloudcroft Water System / Spring 2,325708105422201,Otero,2021-04-14 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,--,
155,Cloudcroft Water System / Spring 3,325708105422001,Otero,2021-04-14 00:00:00,1.5,,,,,,,12.7,,,,,,,,,,,,,,,,,,,,,--,14.2,Yes
156,Cloudcroft Water System / Spring 4,325654105421301,Otero,2021-03-31 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,--,
157,Cloudcroft Water System / Spring 5,325652105421201,Otero,2021-04-01 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,--,
158,Cloudcroft Water System / Spring 8,325634105421501,Otero,2021-04-13 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,--,
159,Cloudcroft Water System / Spring 9,325636105421501,Otero,2021-04-13 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,--,
160,Cloudcroft Water System / Spring 10,325637105421401,Otero,2021-04-13 00:00:00,1.4,,,,,,,28.7,1,4.8,1.9,36,0.9,2.8,,,,,,,,,,,,,,,36,77.5,Yes
161,Cloudcroft Water System / Spring 11,325648105420901,Otero,2021-04-14 00:00:00,2.3,,,,,,,27,1.1,2.4,1.3,4.8,,,,,,,,,,,,,,,,,4.8,38.9,Yes
162,Cloudcroft Water System / Spring 12,325703105422501,Otero,2021-04-14 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,--,
163,Cloudcroft Water System / Spring 13 (New Spring),325657105421301,Otero,2021-04-14 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,--,
164,Karr Canyon Estates / Spring 1,325448105484701,Otero,2021-01-28 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,--,
165,La Luz MDWCA / Fresnal Canyon intake,325848105554701.0,Otero,2020-12-30 00:00:00,,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,--,1.5,Yes
166,Mountain Orchard MDWCA / Spring 1,325627105482701.0,Otero,2021-01-28 00:00:00,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,1,Yes
167,Timberon W & SD / Spring 5 (Carrisa),323905105395101.0,Otero,2021-04-28 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,--,
168,Tularosa Water System / Raw water reservoir,330515105584401.0,Otero,2021-01-26 00:00:00,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1,1,Yes
169,Tularosa Water System / Tularosa stream intake,330539105582601.0,Otero,2021-01-26 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,--,
170,Waterfall Community WUA / Spring,325437105410301.0,Otero,2021-04-16 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,--,
