,Water System Name / Well Name,USGS Site ID,County,Date,PFBS,PFPeS,PFHxS,PFHpS,PFOS,PFNS,PFDS,PFBA,PFPeA,PFHxA,PFHpA,PFOA,PFNA,PFDA,PFUnDA,PFDoDA,PFTrDA,PFTeDA,PFOSA,N-MeFOSAA,N-EtFOSAA,4:2 FTS,6:2 FTS,8:2 FTS,9Cl-PF3ONS,11Cl-PF3OUdS,ADONA,HFPO-DA,"PFOA+ PFOS
(ng/L)","ΣPFAS
(ng/L)",Total PFAS includes estimated values?
48,Alamogordo Domestic Water System / Snake Tank well 5,331237106022002,Otero,2021-02-09 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,--,
49,Alamogordo Domestic Water System / Well 2,325704105560701,Otero,2021-01-27 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,--,
50,Alamogordo Domestic Water System / Well 3,325704105561801,Otero,2021-01-27 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,--,
51,Alamogordo Domestic Water System / Well 4,325717105560601,Otero,2021-01-27 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,--,
52,Alamogordo Domestic Water System / Well 5,325827105562201,Otero,2020-09-17 00:00:00,,,,,,,,,,,,,,,,,,,,,,,10.9,,,,,,--,10.9,No
53,Alamogordo Domestic Water System / Well 5,325827105562201,Otero,2021-02-10 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,--,
54,Alamogordo Domestic Water System / Well 6,325648105561201,Otero,2021-01-27 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,--,
55,Alamogordo Domestic Water System / Well 7,325610105561801,Otero,2021-05-25 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,--,
56,Alamogordo Domestic Water System / Well 8,325745105561001,Otero,2021-01-27 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,--,
57,Boles Acres Water System / Well 1,324827105585001,Otero,2020-12-22 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,--,
58,Boles Acres Water System / Well 2,324817105584801.0,Otero,2021-08-17 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,--,
59,Boles Acres Water System / Well 4,324904105585401.0,Otero,2020-11-05 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,--,
60,Boles Acres Water System / Well 5,324827105593201.0,Otero,2020-11-05 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,--,
61,Cider Mill Farms MDWCA / Well 1,325559105483301.0,Otero,2020-12-29 00:00:00,1.0,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,--,1.9,Yes
62,Cider Mill Farms MDWCA / Well 2,325623105483301.0,Otero,2020-12-29 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,--,
63,Cloud Country Estates WUA / Well 1 (Cotton Canyon well),325537105364001.0,Otero,2021-01-26 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,--,
64,Cloud Country West Water System / Well 1,325735105393701.0,Otero,2021-01-27 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,--,
65,Cloudcroft Water System / Well 2,325704105421501.0,Otero,2021-03-30 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,--,
66,Cloudcroft Water System / Well 3,325703105421401.0,Otero,2021-03-30 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,--,
67,Cloudcroft Water System / Well 4,325700105421101.0,Otero,2021-03-30 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,--,
68,Cloudcroft Water System / Well 5,325656105421001.0,Otero,2021-03-31 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,--,
69,Cloudcroft Water System / Well 6,325703105421801.0,Otero,2021-03-30 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,--,
70,Cloudcroft Water System / Well 8,325654105421001.0,Otero,2021-03-31 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,--,
71,Cloudcroft Water System / Well 9,325658105420901.0,Otero,2021-04-01 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,--,
72,Dungan MDWCA / Well 1,325510105584101.0,Otero,2021-02-11 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,--,
73,Enchanted Valley WUA / Well 1,325839105590101.0,Otero,2021-01-27 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,--,
74,La Luz MDWCA / Well 1,325846105561501.0,Otero,2020-12-30 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,--,
75,La Luz MDWCA / Well 2,325852105560301.0,Otero,2020-12-30 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,--,
76,La Luz MDWCA / Well 3,325847105554801.0,Otero,2020-12-29 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,--,
77,La Luz MDWCA / Well 4,325854105554801.0,Otero,2020-12-30 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,--,
78,Silver Cloud Water Association / Well 1,325611105445801.0,Otero,2021-04-28 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,--,
79,Timberon W & SD / Golf Course Well,323805105414001.0,Otero,2021-04-27 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,--,
80,Timberon W & SD / Well 5 (Plant Well),323847105420601.0,Otero,2021-04-27 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,--,
81,Causey Water System / Well 1,335247103080201.0,Roosevelt,2020-09-08 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,--,
82,Oasis State Park / Well 2,341530103211301.0,Roosevelt,2020-08-25 00:00:00,,,,,1.2,,,,,,,,,,,,,,,,,,,,,,,,1.2,1.2,Yes
83,Portales Water System /  Blackwater 10,341230103083601.0,Roosevelt,2021-05-11 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,--,
84,Portales Water System /  Blackwater 11,341349103083401.0,Roosevelt,2020-08-26 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,--,
85,Portales Water System /  Blackwater 42,341309103085401.0,Roosevelt,2020-11-18 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,--,
86,Portales Water System /  Las Lomas 35,341154103103801.0,Roosevelt,2021-05-11 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,--,
87,Portales Water System /  Las Lomas 37,341200103112801.0,Roosevelt,2020-11-18 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,--,
88,Portales Water System / Sandhill 3,341333103195001.0,Roosevelt,2020-08-26 00:00:00,,,,,1.3,,,,,,,,,,,,,,,,,,,,,,,,1.3,1.3,Yes
89,Portales Water System / Sandhill 3,341333103195001.0,Roosevelt,2020-08-26 00:00:00,,,,,1.6,,,,,,,,,,,,,,,,,,,,,,,,1.6,1.6,Yes
90,Portales Water System / Sandhill 3,341333103195001.0,Roosevelt,2021-05-11 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,--,
91,Portales Water System / Sandhill 4,341321103193401.0,Roosevelt,2021-05-11 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,--,
92,Portales Water System / Sandhill 5,341333103193501.0,Roosevelt,2020-11-17 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,--,
93,Portales Water System / Sandhill 7,341347103184201.0,Roosevelt,2020-12-15 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,--,
94,-- / PNM KPC1,364823108255901.0,San Juan,2020-12-02 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,--,
95,-- / San Juan Coal Mine GL,364642108254201.0,San Juan,2020-11-19 00:00:00,,,,,,,,4.6,,,,,,,,,,,,,,,,,,,,,--,4.6,No
96,Flora Vista Mutual Domestic / Well 4,364732108034101.0,San Juan,2020-10-28 00:00:00,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,1.3,Yes
97,Corrales Municipal Complex / Well 1,351325106370101.0,Sandoval,2020-09-29 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,--,
98,La Mesa Water Coop / Well 5,351944106283601.0,Sandoval,2020-09-11 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,--,
99,Santa Fe Water System / Agua Fria,354041105581301.0,Santa Fe,2020-09-15 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,--,
100,Santa Fe Water System / Osage,354022105584701.0,Santa Fe,2020-09-15 00:00:00,,,,,1.1,,,,,,,1.1,,,,,,,,,,,,,,,,,2.2,2.2,Yes
101,San Acacia MDWCA / Well 3,341643106541601.0,Socorro,2020-09-28 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,--,
102,Socorro Water System / South Industrial Park Well,340204106550301.0,Socorro,2020-09-28 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,--,
103,Capulin Volcano National Monument / Well 1,364643103583701.0,Union,2020-08-11 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,--,
104,"Rio Grande at Alameda Bridge, NM",8329918,Bernalillo,2020-08-19 00:00:00,,,,,,,,2,2.2,,,,,,,,,,,,,,,,,,,,--,4.2,Yes
105,"Rio Grande at Alameda Bridge, NM",8329918,Bernalillo,2020-09-16 00:00:00,2.8,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,--,3.7,Yes
106,"Rio Grande at Alameda Bridge, NM",8329918,Bernalillo,2020-11-23 00:00:00,3.9,,,,,,,,1.3,,,,,,,,,,,,,,,,,,,,--,5.2,Yes
107,"Rio Grande at Alameda Bridge, NM",8329918,Bernalillo,2020-12-18 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,--,
108,"Rio Grande at Alameda Bridge, NM",8329918,Bernalillo,2021-01-11 00:00:00,,,,,,,,,1.1,,,,,,,,,,,,,,,,,,,,--,1.1,Yes
109,"Rio Grande at Alameda Bridge, NM",8329918,Bernalillo,2021-05-05 00:00:00,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,2.9,No
110,"Rio Grande at Valle de Oro, NM",8330830,Bernalillo,2020-08-31 00:00:00,,,,,2.6,,,,5.8,2.9,,,,,,,,,,,,,,,,,,,--,8.7,No
111,"Rio Grande at Valle de Oro, NM",8330830,Bernalillo,2020-09-16 00:00:00,93,,1.2,,,,,12.3,27.9,12.5,1.7,4.9,,,,,,,,,,,,,,,,,7.5,156.1,Yes
112,"Rio Grande at Valle de Oro, NM",8330830,Bernalillo,2020-11-23 00:00:00,22.4,,,,,,,3.1,6.6,4,,1.6,,,,,,,,,,,,,,,,,1.6,37.7,Yes
